2011-10-12 14:27:40 status half-installed libdrm2 2.4.26-1ubuntu1
2011-10-12 14:27:40 status unpacked libdrm2 2.4.26-1ubuntu1
2011-10-12 14:27:40 status unpacked libdrm2 2.4.26-1ubuntu1
2011-10-12 14:27:40 install libffi6 <none> 3.0.11~rc1-2
2011-10-12 14:27:40 status half-installed libffi6 3.0.11~rc1-2
2011-10-12 14:27:40 status unpacked libffi6 3.0.11~rc1-2
2011-10-12 14:27:40 status unpacked libffi6 3.0.11~rc1-2
2011-10-12 14:27:40 install libgcc1 <none> 1:4.6.1-9ubuntu3
2011-10-12 14:27:40 status half-installed libgcc1 1:4.6.1-9ubuntu3
2011-10-12 14:27:40 status unpacked libgcc1 1:4.6.1-9ubuntu3
2011-10-12 14:27:40 status unpacked libgcc1 1:4.6.1-9ubuntu3
2011-10-12 14:27:40 install libglib2.0-0 <none> 2.30.0-0ubuntu4
2011-10-12 14:27:40 status half-installed libglib2.0-0 2.30.0-0ubuntu4
2011-10-12 14:27:40 status unpacked libglib2.0-0 2.30.0-0ubuntu4
2011-10-12 14:27:40 status unpacked libglib2.0-0 2.30.0-0ubuntu4
2011-10-12 14:27:40 install libklibc <none> 1.5.22-1ubuntu2
2011-10-12 14:27:40 status half-installed libklibc 1.5.22-1ubuntu2
2011-10-12 14:27:40 status unpacked libklibc 1.5.22-1ubuntu2
2011-10-12 14:27:40 status unpacked libklibc 1.5.22-1ubuntu2
2011-10-12 14:27:40 install liblzma2 <none> 5.0.0-2
2011-10-12 14:27:40 status half-installed liblzma2 5.0.0-2
2011-10-12 14:27:40 status unpacked liblzma2 5.0.0-2
2011-10-12 14:27:40 status unpacked liblzma2 5.0.0-2
2011-10-12 14:27:40 install libmount1 <none> 2.19.1-2ubuntu3
2011-10-12 14:27:40 status half-installed libmount1 2.19.1-2ubuntu3
2011-10-12 14:27:40 status unpacked libmount1 2.19.1-2ubuntu3
2011-10-12 14:27:40 status unpacked libmount1 2.19.1-2ubuntu3
2011-10-12 14:27:40 install libncurses5 <none> 5.9-1ubuntu5
2011-10-12 14:27:40 status half-installed libncurses5 5.9-1ubuntu5
2011-10-12 14:27:40 status unpacked libncurses5 5.9-1ubuntu5
2011-10-12 14:27:40 status unpacked libncurses5 5.9-1ubuntu5
2011-10-12 14:27:40 install libncursesw5 <none> 5.9-1ubuntu5
2011-10-12 14:27:40 status half-installed libncursesw5 5.9-1ubuntu5
2011-10-12 14:27:40 status unpacked libncursesw5 5.9-1ubuntu5
2011-10-12 14:27:40 status unpacked libncursesw5 5.9-1ubuntu5
2011-10-12 14:27:40 install libnih-dbus1 <none> 1.0.3-4ubuntu2
2011-10-12 14:27:40 status half-installed libnih-dbus1 1.0.3-4ubuntu2
2011-10-12 14:27:40 status unpacked libnih-dbus1 1.0.3-4ubuntu2
